EpLenMean,entropy,surrgain,entloss,meankl,TimeElapsed,EpisodesSoFar,EpTrueRewMean,optimgain,EpRewMean,explained_variance_tdlam_before,TimestepsSoFar,EpThisIter
114.15,2.718201,0.030739365,0.0,0.010275025,61.48086881637573,123,-297.3636780542574,0.030739365,67.94618,0.623839408159256,14336,10
113.35,2.6983316,0.036233164,0.0,0.010770713,65.1838264465332,131,-271.6933976247417,0.036233164,66.327965,0.4508959650993347,15360,8
112.55,2.6242588,0.024908025,0.0,0.009854287,69.19090366363525,141,-272.11619348229266,0.024908025,63.205334,0.7717146873474121,16384,10
115.175,2.598571,0.03099617,0.0,0.0107314605,73.55463147163391,148,-261.57784989705664,0.03099617,67.82246,0.4290872812271118,17408,7
120.125,2.6243684,0.027698994,0.0,0.009867985,79.08146405220032,154,-239.7101928104101,0.027698994,73.515236,0.2596614360809326,18432,6
129.625,2.6339328,0.032106467,0.0,0.010199584,83.9971661567688,160,-241.31326233311339,0.032106467,80.87221,0.6434671580791473,19456,6
146.975,2.6046135,0.02335092,0.0,0.007508218,89.61376762390137,164,-247.00079370020904,0.02335092,90.82767,0.6878329217433929,20480,4
152.8,2.585491,0.024523906,0.0,0.012669739,95.94659042358398,167,-256.60105409391474,0.024523906,92.1981,0.423262357711792,21504,3
164.325,2.5764742,0.032833897,0.0,0.011686493,101.90294933319092,170,-249.98382650675413,0.032833897,101.89844,-0.11877000331878662,22528,3
183.5,2.560444,0.029942231,0.0,0.009208351,108.05760288238525,172,-252.7608994040951,0.029942231,119.49249,0.15154492855072021,23552,2
195.275,2.5479622,0.041492254,0.0,0.01037487,113.59720373153687,178,-237.62507785355774,0.041492254,128.37639,0.4777226448059082,24576,6
200.1,2.5491846,0.036657132,0.0,0.011218371,120.51471972465515,184,-228.8061565414435,0.036657132,128.275,0.5269955098628998,25600,6
210.25,2.579975,0.03364294,0.0,0.010297034,124.90685749053955,189,-229.77821327010898,0.03364294,135.66086,0.5267188549041748,26624,5
214.05,2.5959282,0.026845466,0.0,0.010234899,130.29685878753662,191,-234.50921528867474,0.026845466,137.73506,0.20056641101837158,27648,2
213.925,2.576428,0.028682085,0.0,0.01001545,134.98021531105042,198,-237.97169949752134,0.028682085,138.97256,0.4312676787376404,28672,7
237.775,2.5294828,0.042172685,0.0,0.010530996,140.0540328025818,202,-237.90272732687936,0.042172685,156.34966,0.43926292657852173,29696,4
225.175,2.5199888,0.025384843,0.0,0.009255214,144.5497624874115,208,-233.1127422366588,0.025384843,151.48404,0.6334824562072754,30720,6
231.375,2.5186155,0.04325099,0.0,0.009528527,150.98993968963623,211,-235.06324831402654,0.04325099,149.59264,0.5536221563816071,31744,3
232.975,2.515259,0.026192855,0.0,0.009163057,157.62161660194397,213,-235.37511805326704,0.026192855,146.23813,0.4985382556915283,32768,2
243.35,2.5330207,0.038926326,0.0,0.009951765,164.50083708763123,215,-240.23077052266362,0.038926326,150.04298,0.5104121267795563,33792,2
259.45,2.537253,0.023887742,0.0,0.008233285,170.44567847251892,218,-253.5007734146775,0.023887742,154.65012,0.7379257380962372,34816,3
268.475,2.5778387,0.018328778,0.0,0.010398313,179.83022356033325,219,-277.3975917411508,0.018328778,156.00961,0.5696904957294464,35840,1
285.775,2.610657,0.016163763,0.0,0.003761844,188.99592328071594,220,-278.38171183052384,0.016163763,162.50943,0.30143851041793823,36864,1
294.55,2.615937,0.036902793,0.0,0.014141608,198.58892560005188,223,-286.01185208731965,0.036902793,163.27422,0.5444139838218689,37888,3
302.525,2.6175325,0.025579829,0.0,0.011512876,205.5845239162445,226,-316.90950065610866,0.025579829,156.62329,0.5858259797096252,38912,3
320.175,2.635336,0.025996499,0.0,0.009490494,212.4001064300537,227,-337.1449688166269,0.025996499,162.2356,0.6057551801204681,39936,1
356.075,2.5962005,0.02771134,0.0,0.010856449,218.85981154441833,229,-358.4309011343785,0.02771134,177.77148,0.6937819421291351,40960,2
363.55,2.61797,0.03247665,0.0,0.0120155215,225.0217444896698,231,-371.7177921516142,0.03247665,172.44069,0.5896990895271301,41984,2
376.8,2.5377388,0.028461063,0.0,0.010999513,230.30102062225342,235,-396.04431611752864,0.028461063,170.95312,0.6160254776477814,43008,4
396.55,2.5547173,0.029612867,0.0,0.009817427,235.99199986457825,238,-417.8947279398611,0.029612867,176.21619,0.9195230230689049,44032,3
385.125,2.5368235,0.02871395,0.0,0.0076052845,241.18080806732178,242,-432.213735133133,0.02871395,162.80531,0.5477916896343231,45056,4
388.35,2.50867,0.022309136,0.0,0.009858857,248.50622725486755,247,-436.98130926275263,0.022309136,160.54916,0.6999070644378662,46080,5
386.8,2.5629296,0.030659538,0.0,0.00989532,253.6019070148468,249,-437.02725636821634,0.030659538,157.64944,0.8944433629512787,47104,2
369.625,2.6122649,0.026591452,0.0,0.0098379385,258.177729845047,254,-432.9866841121922,0.026591452,154.77725,0.6925976872444153,48128,5
