# {"t_start": 1586104316.6417692, "env_id": "Hopper-v2"} 
r,l,t
156.034151,76,191.038138
327.905306,170,191.204526
368.354072,173,191.373416
367.034524,162,191.531971
423.679116,201,191.870828
516.757456,308,192.187171
384.465782,200,192.386403
414.698032,174,192.560255
377.552019,207,192.762928
355.662446,170,193.065863
89.258383,52,193.120044
345.77472,161,193.283072
360.396039,175,193.458105
367.439096,156,193.614829
375.240748,194,193.806885
402.113285,214,194.154962
391.659703,164,194.327782
424.557496,188,194.522567
359.974679,155,194.675819
363.120652,141,194.81569
374.508886,173,194.98459
388.125087,205,195.325425
389.362199,175,195.506798
344.105295,149,195.659145
377.571894,151,195.810969
368.320978,163,195.973927
383.182779,202,196.174132
362.395561,141,196.43584
363.94813,187,196.636104
357.587615,142,196.78204
331.342805,153,196.933425
367.014344,166,197.098629
269.290365,115,197.213942
325.245545,128,197.338771
290.137065,118,197.574596
354.644732,142,197.725402
198.841918,90,197.816908
210.235004,98,197.916492
295.472862,125,198.040899
251.234951,109,198.149388
383.660436,161,198.30792
263.392,110,198.414759
224.724343,103,198.516109
386.944011,182,199.073886
197.17476,92,199.168134
310.364709,130,199.299046
321.794359,133,199.430805
202.288646,93,199.52226
209.700287,97,199.616946
349.748191,139,199.751805
208.847388,95,199.840569
275.912287,118,199.955514
204.31127,91,200.173641
215.092523,94,200.271428
230.68579,101,200.374351
225.72333,121,200.496787
349.416741,147,200.642558
303.338558,121,200.762027
317.849249,125,200.884523
314.656177,125,201.007574
277.616863,130,201.254964
358.234546,150,201.414862
332.675035,135,201.552082
331.064656,159,201.712979
333.084934,127,201.838761
313.929161,147,201.983897
215.242223,96,202.079851
330.937547,144,202.221336
356.208283,142,202.494148
358.158483,167,202.667186
351.592843,139,202.80644
255.363745,114,202.921907
315.547002,136,203.056423
264.417984,110,203.164371
222.343959,103,203.264638
258.7685,132,203.394233
349.91003,146,203.662477
305.108571,127,203.790089
318.345924,134,203.925017
360.628223,150,204.072923
354.229669,158,204.22743
354.244276,135,204.359665
308.859511,123,204.477605
336.571628,143,204.742629
287.089635,117,204.85996
335.784918,145,205.006228
253.517407,111,205.119534
359.431479,148,205.266234
239.56821,127,205.39208
317.426567,150,205.54088
340.312737,141,205.677496
339.561968,151,205.962568
303.456809,139,206.106109
307.292835,132,206.240206
225.923158,99,206.340866
321.77145,128,206.465896
304.346052,132,206.596062
362.753368,146,206.741528
306.973112,127,206.983916
