# {"t_start": 1586114295.61758, "env_id": "LunarLanderContinuous-v2"} 
r,l,t
-1634.273689,151,52.690328
-156.110892,65,52.754943
-579.739727,64,52.823588
-747.80085,83,52.909627
-488.773628,60,52.972188
-175.015968,70,53.037094
-151.952107,72,53.191692
-516.853827,124,53.3408
-447.630878,81,53.42626
-598.322391,180,53.665118
-143.783023,53,54.106191
-460.556157,75,54.188429
-671.74741,112,54.323195
-668.741295,70,54.398935
-684.130702,72,54.473462
-207.74003,67,54.53554
-229.397437,60,54.595656
-655.382013,79,54.748895
-587.010497,67,54.825522
-630.105631,63,54.901527
-428.874802,55,54.959211
-411.781973,52,55.015201
-504.657323,73,55.092881
-474.45846,67,55.162591
-582.381233,64,55.229034
-415.101336,53,55.349195
-754.764418,57,55.424517
-538.721267,71,55.503203
-492.807075,58,55.564986
-454.86902,72,55.643685
-605.751182,132,55.788314
-414.375378,77,56.280055
-180.498321,51,56.334507
-593.576372,149,56.519055
-621.330794,68,56.592677
-659.086752,88,56.691801
-763.682581,83,56.778492
-159.59957,68,56.909778
-473.919526,56,56.973643
-480.886434,63,57.045008
-653.151156,119,57.192758
-554.516489,66,57.266153
-481.003662,77,57.349912
-638.490469,93,57.44947
-538.607707,66,57.595341
-752.675805,59,57.671364
-715.950921,59,57.746145
-930.049024,83,57.840226
-387.124936,51,57.893911
-472.135762,67,57.962317
-336.569549,53,58.016584
-422.426946,78,58.502994
-702.741968,62,58.584064
-424.315873,50,58.638298
-739.144185,75,58.721535
-420.260951,50,58.775922
-426.611665,52,58.83018
-758.247756,63,58.905515
-467.282623,62,58.96752
-744.685067,63,59.043518
-54.490906,66,59.191519
-1000.054676,86,59.290033
-476.420917,54,59.348638
-514.879798,57,59.409812
-767.566325,74,59.490946
-303.989119,70,59.565487
-963.339559,121,59.784286
-238.074412,54,59.846996
-639.822837,66,59.922581
-509.071451,99,60.041235
-347.125761,67,60.117287
-410.379988,67,60.191535
-503.174654,70,60.265728
-407.123977,74,60.772465
-523.301146,83,60.864019
-711.634108,63,60.942431
-403.8971,51,60.996552
-518.846812,82,61.090823
-505.93495,71,61.164182
-257.117826,82,61.246285
-748.641993,64,61.39842
-415.078733,65,61.477956
-702.262762,91,61.57934
